cognitive_ability, 700
learning_disorders, 632
reciprocal_social_interaction, 616
diagnosis, 100
social_competence, 405
onset_of_symptoms, 382
medications, 362
mental_disorders, 321
neurologic_indications, 266
comorbidities, 248
visual_thinking, 239
complaints_and_indications, 237
stereotyped_restricted_and_repetitive_behavior, 229
ability_to_convey_information, 200
medical_history, 163
working_memory, 161
ability_to_converse_in_social_settings, 158
exposures, 151
anxiety_disorders, 143
personal_traits, 141
overactivity, 140
depressive_disorder, 140
attention_and_focus, 133
perinatal_history, 132
expressive_language, 126
development_or_regression_of_language_skills, 117
non_verbal_communication, 113
mental_retardation, 110
autism_phenotype, 109
attention_deficit_disorder_with_hyperactivity, 107
empathy, 107
integrated_verbal_and_nonverbal_communication, 106
performance_of_chores, 99
vocalizations, 99
schizophrenia_and_disorders_with_psychotic_features, 96
planning, 93
engagement_in_social_activities, 90
restricted_and_repetitive_behavior, 88
neurodegenerative_diseases, 83
language_ability, 82
epilepsy, 81
receptive_language, 78
siezures, 76
fine_motor_skills, 75
dietary_supplements, 74
motor_skills, 72
reaction_to_sensory_stimuli, 72
psychiatric_hospitalization, 71
bipolar_disorder, 71
rett_syndrome, 70
ability_to_convey_correct_information, 70
hydrocephalus, 70
eye_contact, 63
problem_solving_ability, 63
mood, 61
gross_motor_skills, 61
asperger_syndrome, 61
head_injury, 60
performance_in_school, 59
mood_disorders, 55
autoimmune_diseases, 54
metabolic_indications, 53
executive_function, 52
job_performance, 51
aggressive_behavior, 50
hospitalizations, 50
iq, 50
decision_making_ability, 50
hearing_loss, 47
restricted_and_unusual_interests, 47
autistic_disorder, 47
sharing_in_interests_of_others, 46
bacterial_infections, 45
relating_to_others, 45
abnormal_activity_or_energy_level, 45
obsessive, 44
fragile_x_syndrome, 44
compulsive_disorder, 44
immoderate_behavior, 43
response_inhibition, 42
task_performance, 42
central_nervous_system_diseases, 41
dietary_restrictions, 41
perinatal_exposures, 40
engaging_in_social_play, 40
pain, 39
language_development, 39
recognition_of_social_norms, 38
imagination, 38
allergies, 38
virus_diseases, 37
suspicious_of_others, 36
nervous_system_diseases, 36
cardiovascular_diseases, 35
